Sentence,Tokens,Lemmas,POS,Chapter,Labels
Самая волшебная из волшебных сказок у нас едва ли избегнет упрека в покушении на оскорбление личности!,самая;волшебная;из;волшебных;сказок;у;нас;едва;ли;избегнет;упрека;в;покушении;на;оскорбление;личности,самый;волшебный;из;волшебный;сказка;у;мы;едва;ли;избегать;упрек;в;покушение;на;оскорбление;личность,APRO;A;PR;A;S;PR;SPRO;ADV;PART;V;S;PR;S;PR;S;S,Герой нашего времени. Предисловие.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Герой Нашего Времени, милостивые государи мои, точно, портрет, но не одного человека: это портрет, составленный из пороков всего нашего поколения, в полном их развитии.",герой;нашего;времени;милостивые;государи;мои;точно;портрет;но;не;одного;человека;это;портрет;составленный;из;пороков;всего;нашего;поколения;в;полном;их;развитии,герой;наш;время;милостивый;государь;мой;точно;портрет;но;не;один;человек;это;портрет;составлять;из;порок;весь;наш;поколение;в;полный;их;развитие,S;APRO;S;A;S;APRO;CONJ;S;CONJ;PART;APRO;S;SPRO;S;V;PR;S;APRO;APRO;S;PR;A;APRO;S,Герой нашего времени. Предисловие.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Вы мне опять скажете, что человек не может быть так дурен, а я вам скажу, что ежели вы верили возможности существования всех трагических и романтических злодеев, отчего же вы не веруете в действительность Печорина?",вы;мне;опять;скажете;что;человек;не;может;быть;так;дурен;а;я;вам;скажу;что;ежели;вы;верили;возможности;существования;всех;трагических;и;романтических;злодеев;отчего;же;вы;не;веруете;в;действительность;печорина,вы;я;опять;сказать;что;человек;не;мочь;быть;так;дурной;а;я;вы;сказать;что;ежели;вы;верить;возможность;существование;весь;трагический;и;романтический;злодей;отчего;же;вы;не;веровать;в;действительность;печорин,SPRO;SPRO;ADV;V;CONJ;S;PART;V;V;ADVPRO;A;CONJ;SPRO;SPRO;V;CONJ;CONJ;SPRO;V;S;S;APRO;A;CONJ;A;S;ADVPRO;PART;SPRO;PART;V;PR;S;S,Герой нашего времени. Предисловие.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Если вы любовались вымыслами гораздо более ужасными и уродливыми, отчего же этот характер, даже как вымысел, не находит у вас пощады?",если;вы;любовались;вымыслами;гораздо;более;ужасными;и;уродливыми;отчего;же;этот;характер;даже;как;вымысел;не;находит;у;вас;пощады,если;вы;любоваться;вымысел;гораздо;более;ужасный;и;уродливый;отчего;же;этот;характер;даже;как;вымысел;не;находить;у;вы;пощада,CONJ;SPRO;V;S;ADV;ADV;A;CONJ;A;ADVPRO;PART;APRO;S;CONJ;CONJ;S;PART;V;PR;SPRO;S,Герой нашего времени. Предисловие.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Уж не оттого ли, что в нем больше правды, нежели бы вы того желали?..",уж;не;оттого;ли;что;в;нем;больше;правды;нежели;бы;вы;того;желали;?..,уж;не;оттого;ли;что;в;он;много;правда;нежели;бы;вы;то;желать;?..,PART;PART;ADVPRO;PART;CONJ;PR;SPRO;ADV;S;CONJ;PART;SPRO;SPRO;V;,Герой нашего времени. Предисловие.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Вы скажете, что нравственность от этого не выигрывает?",вы;скажете;что;нравственность;от;этого;не;выигрывает,вы;сказать;что;нравственность;от;это;не;выигрывать,SPRO;V;CONJ;S;PR;SPRO;PART;V,Герой нашего времени. Предисловие.,0;0;0;0;0;0;0;0
Извините.,извините,извинять,V,Герой нашего времени. Предисловие.,0
"Довольно людей кормили сластями; у них от этого испортился желудок: нужны горькие лекарства, едкие истины.",довольно;людей;кормили;сластями;у;них;от;этого;испортился;желудок;нужны;горькие;лекарства;едкие;истины,довольно;человек;кормить;сласти;у;они;от;это;испортиться;желудок;нужный;горький;лекарство;едкий;истина,ADV;S;V;S;PR;SPRO;PR;SPRO;V;S;A;A;S;A;S,Герой нашего времени. Предисловие.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Но не думайте однако после этого, чтоб автор этой книги имел когда-нибудь гордую мечту сделаться исправителем людских пороков.",но;не;думайте;однако;после;этого;чтоб;автор;этой;книги;имел;когда-нибудь;гордую;мечту;сделаться;исправителем;людских;пороков,но;не;думать;однако;после;это;чтоб;автор;этот;книга;иметь;когда-нибудь;гордый;мечта;сделаться;исправитель;людской;порок,CONJ;PART;V;CONJ;PR;SPRO;CONJ;S;APRO;S;V;ADVPRO;A;S;V;S;A;S,Герой нашего времени. Предисловие.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Боже его избави от такого невежества!,боже;его;избави;от;такого;невежества,боже;он;избавить;от;такой;невежество,S;SPRO;V;PR;APRO;S,Герой нашего времени. Предисловие.,0;0;0;0;0;0
"Ему просто было весело рисовать современного человека, каким он его понимает, и, к его и вашему несчастью, слишком часто встречал.",ему;просто;было;весело;рисовать;современного;человека;каким;он;его;понимает;и;к;его;и;вашему;несчастью;слишком;часто;встречал,он;просто;быть;весело;рисовать;современный;человек;какой;он;он;понимать;и;к;его;и;ваш;несчастие;слишком;часто;встречать,SPRO;PART;V;ADV;V;A;S;APRO;SPRO;SPRO;V;CONJ;PR;APRO;CONJ;APRO;S;ADV;ADV;V,Герой нашего времени. Предисловие.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Будет и того, что болезнь указана, а как ее излечить — это уж бог знает!",будет;и;того;что;болезнь;указана;а;как;ее;излечить;это;уж;бог;знает,быть;и;то;что;болезнь;указывать;а;как;она;излечивать;это;уж;бог;знать,V;CONJ;SPRO;CONJ;S;V;CONJ;CONJ;SPRO;V;PART;PART;S;V,Герой нашего времени. Предисловие.,0;0;0;0;0;0;0;0;0;0;0;0;0;0
Часть первая  Я ехал на перекладных из Тифлиса.,часть;первая;я;ехал;на;перекладных;из;тифлиса,часть;первый;я;ехать;на;перекладной;из;тифлис,S;ANUM;SPRO;V;PR;A;PR;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0
"Вся поклажа моей тележки состояла из одного неболыпого чемодана, который до половины был набит путевыми записками о Грузии.",вся;поклажа;моей;тележки;состояла;из;одного;неболыпого;чемодана;который;до;половины;был;набит;путевыми;записками;о;грузии,весь;поклажа;мой;тележка;состоять;из;один;неболыпого;чемодан;который;до;половина;быть;набивать;путевой;записка;о;грузия,APRO;S;APRO;S;V;PR;APRO;ADV;S;APRO;PR;S;V;V;A;S;PR;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Бо́льшая часть из них, к счастию для вас, потеряна, а чемодан с остальными вещами, к счастию для меня, остался цел.",бо́льшая;часть;из;них;к;счастию;для;вас;потеряна;а;чемодан;с;остальными;вещами;к;счастию;для;меня;остался;цел,большой;часть;из;они;к;счастие;для;вы;потерять;а;чемодан;с;остальной;вещь;к;счастие;для;я;оставаться;целый,A;S;PR;SPRO;PR;S;PR;SPRO;V;CONJ;S;PR;APRO;S;PR;S;PR;SPRO;V;A,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Уж солнце начинало прятаться за снеговой хребет, когда я въехал в Койшаурскую долину.",уж;солнце;начинало;прятаться;за;снеговой;хребет;когда;я;въехал;в;койшаурскую;долину,уж;солнце;начинать;прятаться;за;снеговой;хребет;когда;я;въезжать;в;койшаурский;долина,PART;S;V;V;PR;A;S;CONJ;SPRO;V;PR;A;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0
"Осетин-извозчик неутомимо погонял лошадей, чтобы успеть до ночи взобраться на Койшаурскую Гору, и во всё горло распевал песни.",осетин;извозчик;неутомимо;погонял;лошадей;чтобы;успеть;до;ночи;взобраться;на;койшаурскую;гору;и;во;всё;горло;распевал;песни,осетин;извозчик;неутомимо;погонять;лошадь;чтобы;успевать;до;ночь;взбираться;на;койшаурский;гора;и;во;весь;горло;распевать;песня,S;S;ADV;V;S;CONJ;V;PR;S;V;PR;A;S;CONJ;PR;APRO;S;V;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Славное место эта долина!,славное;место;эта;долина,славный;место;этот;долина,A;S;APRO;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0
"Со всех сторон горы неприступные, красноватые скалы, обвешанные зеленым плющом и увенчанные купами чинар, желтые обрывы, исчерченные промоинами, а там высоко-высоко золотая бахрома снегов, а внизу Арагва, обнявшись с другой безыменной речкой, шумно-вырывающейся из черного, полного мглою ущелья, тянется серебряной нитью и сверкает, как змея своею чешуею.",со;всех;сторон;горы;неприступные;красноватые;скалы;обвешанные;зеленым;плющом;и;увенчанные;купами;чинар;желтые;обрывы;исчерченные;промоинами;а;там;высоко;высоко;золотая;бахрома;снегов;а;внизу;арагва;обнявшись;с;другой;безыменной;речкой;шумно;вырывающейся;из;черного;полного;мглою;ущелья;тянется;серебряной;нитью;и;сверкает;как;змея;своею;чешуею,со;весь;сторона;гора;неприступный;красноватый;скала;обвесить;зеленый;плющ;и;увенчивать;купа;чинар;желтый;обрыв;исчерчивать;промоина;а;там;высоко;высоко;золотой;бахрома;снег;а;внизу;арагва;обниматься;с;другой;безыменный;речка;шумно;вырываться;из;черный;полный;мгла;ущелие;тянуться;серебряный;нить;и;сверкать;как;змея;свой;чешуя,PR;APRO;S;S;A;A;S;V;A;S;CONJ;V;S;S;A;S;V;S;CONJ;ADVPRO;ADV;ADV;A;S;S;CONJ;ADV;S;V;PR;APRO;A;S;ADV;V;PR;A;A;S;S;V;A;S;CONJ;V;CONJ;S;APRO;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Подъехав к подошве Койшаурской Горы, мы остановились возле духана.",подъехав;к;подошве;койшаурской;горы;мы;остановились;возле;духана,подъезжать;к;подошва;койшаурский;гора;мы;останавливаться;возле;духан,V;PR;S;A;S;SPRO;V;PR;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0
Тут толпилось шумно десятка два грузин и горцев; поблизости караван верблюдов остановился для ночлега.,тут;толпилось;шумно;десятка;два;грузин;и;горцев;поблизости;караван;верблюдов;остановился;для;ночлега,тут;толпиться;шумно;десяток;два;грузин;и;горец;поблизости;караван;верблюд;останавливаться;для;ночлег,ADVPRO;V;ADV;S;NUM;S;CONJ;S;ADV;S;S;V;PR;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Я должен был нанять быков, чтоб втащить мою тележку на эту проклятую гору, потому что была уже осень и гололедица, — а эта гора имеет около двух верст длины.","я;должен;был;нанять;быков;чтоб;втащить;мою;тележку;на;эту;проклятую;гору;потому;что;была;уже;осень;и;гололедица;, — ;а;эта;гора;имеет;около;двух;верст;длины","я;должный;быть;нанимать;бык;чтоб;втаскивать;мой;тележка;на;этот;проклятый;гора;потому;что;быть;уже;осень;и;гололедица;, — ;а;этот;гора;иметь;около;два;верста;длина",SPRO;A;V;V;S;CONJ;V;APRO;S;PR;APRO;A;S;ADVPRO;CONJ;V;ADV;S;CONJ;S;;CONJ;APRO;S;V;PR;NUM;S;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Нечего делать, я нанял шесть быков и нескольких осетин.",нечего;делать;я;нанял;шесть;быков;и;нескольких;осетин,нечего;делать;я;нанимать;шесть;бык;и;несколько;осетин,ADV;V;SPRO;V;NUM;S;CONJ;NUM;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0
"Один из них взвалил себе на плечи мой чемодан, другие стали помогать быкам почти одним криком.",один;из;них;взвалил;себе;на;плечи;мой;чемодан;другие;стали;помогать;быкам;почти;одним;криком,один;из;они;взваливать;себя;на;плечо;мой;чемодан;другой;становиться;помогать;бык;почти;один;крик,APRO;PR;SPRO;V;SPRO;PR;S;APRO;S;APRO;V;V;S;ADV;APRO;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"За моею тележкою четверка быков тащила другую, как ни в чем не бывала, несмотря на то, что она была доверху накладена.",за;моею;тележкою;четверка;быков;тащила;другую;как;ни;в;чем;не;бывала;несмотря;на;то;что;она;была;доверху;накладена,за;мой;тележка;четверка;бык;тащить;другой;как;ни;в;что;не;бывать;несмотря;на;то;что;она;быть;доверху;накладеный,PR;APRO;S;S;S;V;APRO;CONJ;PART;PR;SPRO;PART;V;ADV;PR;SPRO;CONJ;SPRO;V;ADV;A,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Это обстоятельство меня удивило.,это;обстоятельство;меня;удивило,этот;обстоятельство;я;удивлять,APRO;S;SPRO;V,Герой нашего времени. Часть 1. Бэла.,0;0;0;0
"За нею шел хозяин, покуривая из маленькой кабардинской трубочки, обделанной в серебро.",за;нею;шел;хозяин;покуривая;из;маленькой;кабардинской;трубочки;обделанной;в;серебро,за;она;идти;хозяин;покуривать;из;маленький;кабардинский;трубочка;обделывать;в;серебро,PR;SPRO;V;S;V;PR;A;A;S;V;PR;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0
На нем был офицерский сертук без эполет и черкесская мохнатая шапка.,на;нем;был;офицерский;сертук;без;эполет;и;черкесская;мохнатая;шапка,на;он;быть;офицерский;сертук;без;эполет;и;черкесский;мохнатый;шапка,PR;SPRO;V;A;S;PR;S;CONJ;A;A;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0
"Он казался лет пятидесяти; смуглый цвет лица его показывал, что оно давно знакомо с закавказским солнцем, и преждевременно поседевшие усы не соответствовали его твердой походке и бодрому виду.",он;казался;лет;пятидесяти;смуглый;цвет;лица;его;показывал;что;оно;давно;знакомо;с;закавказским;солнцем;и;преждевременно;поседевшие;усы;не;соответствовали;его;твердой;походке;и;бодрому;виду,он;казаться;год;пятьдесят;смуглый;цвет;лицо;он;показывать;что;оно;давно;знакомый;с;закавказский;солнце;и;преждевременно;поседеть;ус;не;соответствовать;он;твердый;походка;и;бодрый;вид,SPRO;V;S;NUM;A;S;S;SPRO;V;CONJ;SPRO;ADV;A;PR;A;S;CONJ;ADV;V;S;PART;V;SPRO;A;S;CONJ;A;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Я подошел к нему и поклонился; он молча отвечал мне на поклон и пустил огромный клуб дыма.,я;подошел;к;нему;и;поклонился;он;молча;отвечал;мне;на;поклон;и;пустил;огромный;клуб;дыма,я;подходить;к;он;и;поклониться;он;молча;отвечать;я;на;поклон;и;пускать;огромный;клуб;дым,SPRO;V;PR;SPRO;CONJ;V;SPRO;ADV;V;SPRO;PR;S;CONJ;V;A;S;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"— Мы с вами попутчики, кажется?",мы;с;вами;попутчики;кажется,мы;с;вы;попутчик;кажется,SPRO;PR;SPRO;S;ADV,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0
"Он, молча, опять поклонился.",он;молча;опять;поклонился,он;молча;опять;поклониться,SPRO;ADV;ADV;V,Герой нашего времени. Часть 1. Бэла.,0;0;0;0
— Вы верно едете в Ставрополь?,вы;верно;едете;в;ставрополь,вы;верно;ехать;в;ставрополь,SPRO;ADV;V;PR;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0
— Так-с точно... с казенными вещами.,так-с;точно;...;с;казенными;вещами,так-с;точно;...;с;казенный;вещь,PART;PART;;PR;A;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0
"— Скажите, пожалуйста, отчего это вашу тяжелую тележку четыре быка тащат шутя, а мою пустую шесть скотов едва подвигают с помощию этих осетин?",скажите;пожалуйста;отчего;это;вашу;тяжелую;тележку;четыре;быка;тащат;шутя;а;мою;пустую;шесть;скотов;едва;подвигают;с;помощию;этих;осетин,сказать;пожалуйста;отчего;это;ваш;тяжелый;тележка;четыре;бык;тащить;шутя;а;мой;пустой;шесть;скот;едва;подвигать;с;помощию;этот;осетин,V;PART;ADVPRO;PART;APRO;A;S;NUM;S;V;ADV;CONJ;APRO;A;NUM;S;ADV;V;PR;ADV;APRO;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Он лукаво улыбнулся и значительно взглянул на меня: — Вы верно недавно на Кавказе?,он;лукаво;улыбнулся;и;значительно;взглянул;на;меня;: — ;вы;верно;недавно;на;кавказе,он;лукаво;улыбаться;и;значительно;взглядывать;на;я;: — ;вы;верно;недавно;на;кавказ,SPRO;ADV;V;CONJ;ADV;V;PR;SPRO;;SPRO;ADV;ADV;PR;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0;0
"— С год, — отвечал я. Он улыбнулся вторично.","с;год;, — ;отвечал;я;он;улыбнулся;вторично","с;год;, — ;отвечать;я;он;улыбаться;вторично",PR;S;;V;SPRO;SPRO;V;ADV,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0
— А что ж?,а;что;ж,а;что;ж,CONJ;SPRO;PART,Герой нашего времени. Часть 1. Бэла.,0;0;0
— Да так-с!,да;так-с,да;так-с,PART;PART,Герой нашего времени. Часть 1. Бэла.,0;0
Ужасные бестии эти азиаты!,ужасные;бестии;эти;азиаты,ужасный;бестия;этот;азиат,A;S;APRO;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0
"Вы думаете, они помогают, что кричат?",вы;думаете;они;помогают;что;кричат,вы;думать;они;помогать;что;кричать,SPRO;V;SPRO;V;CONJ;V,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0
"А черт их разберет, что они кричат?",а;черт;их;разберет;что;они;кричат,а;черт;они;разбирать;что;они;кричать,CONJ;S;SPRO;V;CONJ;SPRO;V,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0
"Быки-то их понимают; запрягите хоть двадцать, так коли они крикнут по-своему, быки всё ни с места... Ужасные плуты!",быки;то;их;понимают;запрягите;хоть;двадцать;так;коли;они;крикнут;по-своему;быки;всё;ни;с;места;... ;ужасные;плуты,бык;то;они;понимать;запрягать;хоть;двадцать;так;коли;они;крикнуть;по-своему;бык;все;ни;с;место;... ;ужасный;плут,S;PART;SPRO;V;V;PART;NUM;ADVPRO;CONJ;SPRO;V;ADV;S;ADV;PART;PR;S;;A;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
А что с них возьмешь?..,а;что;с;них;возьмешь;?..,а;что;с;они;взять;?..,CONJ;SPRO;PR;SPRO;V;,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0
Любят деньги драть с проезжающих... Избаловали мошенников!,любят;деньги;драть;с;проезжающих;... ;избаловали;мошенников,любить;деньги;драть;с;проезжать;... ;избаловывать;мошенник,V;S;V;PR;V;;V;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0
"увидите, они еще с вас возьмут на водку.",увидите;они;еще;с;вас;возьмут;на;водку,увидеть;они;еще;с;вы;взять;на;водка,V;SPRO;ADV;PR;SPRO;V;PR;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0
"Уж я их знаю, меня не проведут!",уж;я;их;знаю;меня;не;проведут,уж;я;они;знать;я;не;проводить,PART;SPRO;SPRO;V;SPRO;PART;V,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0
— А вы давно здесь служите?,а;вы;давно;здесь;служите,а;вы;давно;здесь;служить,CONJ;SPRO;ADV;ADVPRO;V,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0
"— Да, я уж здесь служил при Алексее Петровиче, — отвечал он приосанившись.","да;я;уж;здесь;служил;при;алексее;петровиче;, — ;отвечал;он;приосанившись","да;я;уж;здесь;служить;при;алексей;петрович;, — ;отвечать;он;приосаниваться",CONJ;SPRO;PART;ADVPRO;V;PR;S;S;;V;SPRO;V,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0
