Sentence,Tokens,Lemmas,POS,Chapter
Самая волшебная из волшебных сказок у нас едва ли избегнет упрека в покушении на оскорбление личности!,Самая;волшебная;из;волшебных;сказок;у;нас;едва;ли;избегнет;упрека;в;покушении;на;оскорбление;личности,самый;волшебный;из;волшебный;сказка;у;мы;едва;ли;избегнуть;упрек;в;покушение;на;оскорбление;личность,ADJ;ADJ;ADP;ADJ;NOUN;ADP;PRON;ADV;PART;VERB;NOUN;ADP;NOUN;ADP;NOUN;NOUN,Герой нашего времени. Предисловие. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-01.html
"Герой Нашего Времени, милостивые государи мои, точно, портрет, но не одного человека: это портрет, составленный из пороков всего нашего поколения, в полном их развитии.",Герой;Нашего;Времени;милостивые;государи;мои;точно;портрет;но;не;одного;человека;это;портрет;составленный;из;пороков;всего;нашего;поколения;в;полном;их;развитии,герой;наш;время;милостивый;государь;мой;точно;портрет;но;не;один;человек;это;портрет;составить;из;порок;весь;наш;поколение;в;полный;их;развитие,NOUN;DET;PROPN;ADJ;NOUN;DET;ADV;NOUN;CCONJ;PART;NUM;NOUN;PRON;NOUN;VERB;ADP;NOUN;DET;DET;NOUN;ADP;ADJ;DET;NOUN,Герой нашего времени. Предисловие. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-01.html
"Вы мне опять скажете, что человек не может быть так дурен, а я вам скажу, что ежели вы верили возможности существования всех трагических и романтических злодеев, отчего же вы не веруете в действительность Печорина?",Вы;мне;опять;скажете;что;человек;не;может;быть;так;дурен;а;я;вам;скажу;что;ежели;вы;верили;возможности;существования;всех;трагических;и;романтических;злодеев;отчего;же;вы;не;веруете;в;действительность;Печорина,вы;я;опять;сказать;что;человек;не;мочь;быть;так;дуреный;а;я;вы;сказать;что;ежели;вы;верить;возможность;существование;весь;трагический;и;романтический;злодей;отчего;же;вы;не;веровать;в;действительность;Печорина,PRON;PRON;ADV;VERB;SCONJ;NOUN;PART;VERB;AUX;ADV;ADJ;CCONJ;PRON;PRON;VERB;SCONJ;SCONJ;PRON;VERB;NOUN;NOUN;DET;ADJ;CCONJ;ADJ;NOUN;ADV;PART;PRON;PART;VERB;ADP;NOUN;PROPN,Герой нашего времени. Предисловие. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-01.html
"Если вы любовались вымыслами гораздо более ужасными и уродливыми, отчего же этот характер, даже как вымысел, не находит у вас пощады?",Если;вы;любовались;вымыслами;гораздо;более;ужасными;и;уродливыми;отчего;же;этот;характер;даже;как;вымысел;не;находит;у;вас;пощады,если;вы;любоваться;вымысел;гораздо;более;ужасный;и;уродливый;отчего;же;этот;характер;даже;как;вымысел;не;находить;у;вы;пощад,SCONJ;PRON;VERB;NOUN;ADV;ADV;ADJ;CCONJ;ADJ;ADV;PART;DET;NOUN;PART;SCONJ;NOUN;PART;VERB;ADP;PRON;NOUN,Герой нашего времени. Предисловие. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-01.html
"Уж не оттого ли, что в нем больше правды, нежели бы вы того желали?..",Уж;не;оттого;ли;что;в;нем;больше;правды;нежели;бы;вы;того;желали,уж;не;оттого;ли;что;в;он;больше;правда;нежели;бы;вы;то;желать,PART;PART;ADV;PART;SCONJ;ADP;PRON;ADV;NOUN;SCONJ;AUX;PRON;PRON;VERB,Герой нашего времени. Предисловие. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-01.html
"Вы скажете, что нравственность от этого не выигрывает?",Вы;скажете;что;нравственность;от;этого;не;выигрывает,вы;сказать;что;нравственность;от;это;не;выигрывать,PRON;VERB;SCONJ;NOUN;ADP;PRON;PART;VERB,Герой нашего времени. Предисловие. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-01.html
Извините.,Извините,извинить,VERB,Герой нашего времени. Предисловие. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-01.html
"Довольно людей кормили сластями; у них от этого испортился желудок: нужны горькие лекарства, едкие истины.",Довольно;людей;кормили;сластями;у;них;от;этого;испортился;желудок;нужны;горькие;лекарства;едкие;истины,довольно;человек;кормить;сласть;у;они;от;это;испортиться;желудок;нужный;горький;лекарство;едкий;истина,ADV;NOUN;VERB;NOUN;ADP;PRON;ADP;PRON;VERB;NOUN;ADJ;ADJ;NOUN;ADJ;NOUN,Герой нашего времени. Предисловие. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-01.html
"Но не думайте однако после этого, чтоб автор этой книги имел когда-нибудь гордую мечту сделаться исправителем людских пороков.",Но;не;думайте;однако;после;этого;чтоб;автор;этой;книги;имел;когда-нибудь;гордую;мечту;сделаться;исправителем;людских;пороков,но;не;думать;однако;после;это;чтобы;автор;этот;книга;иметь;когда-нибудь;гордый;мечта;делать;исправитель;людской;порок,CCONJ;PART;VERB;ADV;ADP;PRON;SCONJ;NOUN;DET;NOUN;VERB;ADV;ADJ;NOUN;VERB;NOUN;ADJ;NOUN,Герой нашего времени. Предисловие. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-01.html
Боже его избави от такого невежества!,Боже;его;избави;от;такого;невежества,бог;он;избать;от;такой;невежество,VERB;PRON;VERB;ADP;DET;NOUN,Герой нашего времени. Предисловие. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-01.html
"Ему просто было весело рисовать современного человека, каким он его понимает, и, к его и вашему несчастью, слишком часто встречал.",Ему;просто;было;весело;рисовать;современного;человека;каким;он;его;понимает;и;к;его;и;вашему;несчастью;слишком;часто;встречал,он;просто;быть;веселый;рисовать;современный;человек;какой;он;он;понимать;и;к;его;и;ваш;несчастье;слишком;часто;встречать,PRON;PART;AUX;ADJ;VERB;ADJ;NOUN;DET;PRON;PRON;VERB;CCONJ;ADP;DET;CCONJ;DET;NOUN;ADV;ADV;VERB,Герой нашего времени. Предисловие. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-01.html
"Будет и того, что болезнь указана, а как ее излечить — это уж бог знает!",Будет;и;того;что;болезнь;указана;а;как;ее;излечить;это;уж;бог;знает,быть;и;то;что;болезнь;указать;а;как;она;излечить;это;уж;бог;знать,VERB;PART;PRON;SCONJ;NOUN;VERB;CCONJ;ADV;PRON;VERB;PRON;PART;NOUN;VERB,Герой нашего времени. Предисловие. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-01.html
Часть первая  Я ехал на перекладных из Тифлиса.,Часть;первая;Я;ехал;на;перекладных;из;Тифлиса,часть;первый;я;ехать;на;перекладная;из;Тифлис,NOUN;ADJ;PRON;VERB;ADP;NOUN;ADP;PROPN,Герой нашего времени. Часть 1. Бэла. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-02.html
"Вся поклажа моей тележки состояла из одного неболыпого чемодана, который до половины был набит путевыми записками о Грузии.",Вся;поклажа;моей;тележки;состояла;из;одного;неболыпого;чемодана;который;до;половины;был;набит;путевыми;записками;о;Грузии,весь;поклаж;мой;тележка;состоять;из;один;неболыпый;чемодан;который;до;половина;быть;набать;путевой;записка;о;Грузия,DET;NOUN;DET;NOUN;VERB;ADP;NUM;ADJ;NOUN;PRON;ADP;NOUN;AUX;VERB;ADJ;NOUN;ADP;PROPN,Герой нашего времени. Часть 1. Бэла. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-02.html
"Бо́льшая часть из них, к счастию для вас, потеряна, а чемодан с остальными вещами, к счастию для меня, остался цел.",Бо́льшая;часть;из;них;к;счастию;для;вас;потеряна;а;чемодан;с;остальными;вещами;к;счастию;для;меня;остался;цел,бо́льшой;часть;из;они;к;счастие;для;вы;терять;а;чемодан;с;остальной;вещь;к;счастие;для;я;остаться;целый,ADJ;NOUN;ADP;PRON;ADP;NOUN;ADP;PRON;VERB;CCONJ;NOUN;ADP;ADJ;NOUN;ADP;NOUN;ADP;PRON;VERB;ADJ,Герой нашего времени. Часть 1. Бэла. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-02.html
"Уж солнце начинало прятаться за снеговой хребет, когда я въехал в Койшаурскую долину.",Уж;солнце;начинало;прятаться;за;снеговой;хребет;когда;я;въехал;в;Койшаурскую;долину,уж;солнце;начинать;прятаться;за;снеговой;хребет;когда;я;въехать;в;койшаурский;долина,PART;NOUN;VERB;VERB;ADP;ADJ;NOUN;SCONJ;PRON;VERB;ADP;ADJ;NOUN,Герой нашего времени. Часть 1. Бэла. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-02.html
"Осетин-извозчик неутомимо погонял лошадей, чтобы успеть до ночи взобраться на Койшаурскую Гору, и во всё горло распевал песни.",Осетин;извозчик;неутомимо;погонял;лошадей;чтобы;успеть;до;ночи;взобраться;на;Койшаурскую;Гору;и;во;всё;горло;распевал;песни,осетин;извозчик;неутомимо;погонять;лошадь;чтобы;успеть;до;ночь;взобраться;на;койшаурский;Гора;и;в;весь;горло;распевать;песня,NOUN;NOUN;ADV;VERB;NOUN;SCONJ;VERB;ADP;NOUN;VERB;ADP;ADJ;PROPN;CCONJ;ADP;DET;NOUN;VERB;NOUN,Герой нашего времени. Часть 1. Бэла. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-02.html
Славное место эта долина!,Славное;место;эта;долина,славный;место;этот;долина,ADJ;NOUN;DET;NOUN,Герой нашего времени. Часть 1. Бэла. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-02.html
"Со всех сторон горы неприступные, красноватые скалы, обвешанные зеленым плющом и увенчанные купами чинар, желтые обрывы, исчерченные промоинами, а там высоко-высоко золотая бахрома снегов, а внизу Арагва, обнявшись с другой безыменной речкой, шумно-вырывающейся из черного, полного мглою ущелья, тянется серебряной нитью и сверкает, как змея своею чешуею.",Со;всех;сторон;горы;неприступные;красноватые;скалы;обвешанные;зеленым;плющом;и;увенчанные;купами;чинар;желтые;обрывы;исчерченные;промоинами;а;там;высоко-высоко;золотая;бахрома;снегов;а;внизу;Арагва;обнявшись;с;другой;безыменной;речкой;шумно;вырывающейся;из;черного;полного;мглою;ущелья;тянется;серебряной;нитью;и;сверкает;как;змея;своею;чешуею,с;весь;сторона;гора;неприступный;красноватый;скала;обвешать;зеленый;плющ;и;увенчить;купа;чинар;желтый;обрыв;исчертить;промоина;а;там;высоко-высоко;золотой;бахрома;снег;а;внизу;Арагва;обняться;с;другой;безыменный;речка;шумно;вырываться;из;черный;полный;мглой;ущелье;тянуться;серебряный;нить;и;сверкать;как;змея;свой;чешуя,ADP;DET;NOUN;NOUN;ADJ;ADJ;NOUN;VERB;ADJ;NOUN;CCONJ;VERB;NOUN;NOUN;ADJ;NOUN;VERB;NOUN;CCONJ;ADV;ADV;ADJ;NOUN;NOUN;CCONJ;ADV;PROPN;VERB;ADP;ADJ;ADJ;NOUN;ADV;VERB;ADP;ADJ;ADJ;NOUN;NOUN;VERB;ADJ;NOUN;CCONJ;VERB;SCONJ;NOUN;DET;NOUN,Герой нашего времени. Часть 1. Бэла. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-02.html
"Подъехав к подошве Койшаурской Горы, мы остановились возле духана.",Подъехав;к;подошве;Койшаурской;Горы;мы;остановились;возле;духана,подъехать;к;подошва;койшаурский;Гор;мы;остановиться;возле;духан,VERB;ADP;NOUN;ADJ;PROPN;PRON;VERB;ADP;NOUN,Герой нашего времени. Часть 1. Бэла. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-02.html
Тут толпилось шумно десятка два грузин и горцев; поблизости караван верблюдов остановился для ночлега.,Тут;толпилось;шумно;десятка;два;грузин;и;горцев;поблизости;караван;верблюдов;остановился;для;ночлега,тут;толпиться;шумно;десяток;два;грузин;и;горец;поблизости;караван;верблюд;остановиться;для;ночлега,ADV;VERB;ADV;NOUN;NUM;NOUN;CCONJ;NOUN;ADV;NOUN;NOUN;VERB;ADP;NOUN,Герой нашего времени. Часть 1. Бэла. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-02.html
"Я должен был нанять быков, чтоб втащить мою тележку на эту проклятую гору, потому что была уже осень и гололедица, — а эта гора имеет около двух верст длины.",Я;должен;был;нанять;быков;чтоб;втащить;мою;тележку;на;эту;проклятую;гору;потому;что;была;уже;осень;и;гололедица;а;эта;гора;имеет;около;двух;верст;длины,я;должен;быть;нанять;бык;чтобы;втащить;мой;тележка;на;этот;проклятый;гора;потому;что;быть;уже;осень;и;гололедица;а;этот;гора;иметь;около;два;верста;длина,PRON;ADJ;AUX;VERB;NOUN;SCONJ;VERB;DET;NOUN;ADP;DET;ADJ;NOUN;ADV;SCONJ;VERB;ADV;NOUN;CCONJ;NOUN;CCONJ;DET;NOUN;VERB;ADP;NUM;NOUN;NOUN,Герой нашего времени. Часть 1. Бэла. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-02.html
"Нечего делать, я нанял шесть быков и нескольких осетин.",Нечего;делать;я;нанял;шесть;быков;и;нескольких;осетин,нечего;делать;я;нанять;шесть;бык;и;несколько;осетин,PRON;VERB;PRON;VERB;NUM;NOUN;CCONJ;NUM;NOUN,Герой нашего времени. Часть 1. Бэла. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-02.html
"Один из них взвалил себе на плечи мой чемодан, другие стали помогать быкам почти одним криком.",Один;из;них;взвалил;себе;на;плечи;мой;чемодан;другие;стали;помогать;быкам;почти;одним;криком,один;из;они;взвалить;себя;на;плечо;мой;чемодан;другой;стать;помогать;бык;почти;один;крик,NUM;ADP;PRON;VERB;PRON;ADP;NOUN;DET;NOUN;ADJ;VERB;VERB;NOUN;ADV;NUM;NOUN,Герой нашего времени. Часть 1. Бэла. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-02.html
"За моею тележкою четверка быков тащила другую, как ни в чем не бывала, несмотря на то, что она была доверху накладена.",За;моею;тележкою;четверка;быков;тащила;другую;как;ни;в;чем;не;бывала;несмотря;на;то;что;она;была;доверху;накладена,за;мой;тележка;четверка;бык;тащить;другой;как;ни;в;что;не;бывать;несмотря;на;то;что;она;быть;доверху;накласть,ADP;DET;NOUN;NOUN;NOUN;VERB;ADJ;SCONJ;PART;ADP;PRON;PART;VERB;ADV;ADP;PRON;SCONJ;PRON;AUX;ADV;VERB,Герой нашего времени. Часть 1. Бэла. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-02.html
Это обстоятельство меня удивило.,Это;обстоятельство;меня;удивило,этот;обстоятельство;я;удивить,DET;NOUN;PRON;VERB,Герой нашего времени. Часть 1. Бэла. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-02.html
"За нею шел хозяин, покуривая из маленькой кабардинской трубочки, обделанной в серебро.",За;нею;шел;хозяин;покуривая;из;маленькой;кабардинской;трубочки;обделанной;в;серебро,за;она;идти;хозяин;покуривать;из;маленький;кабардинский;трубочка;обделать;в;серебро,ADP;PRON;VERB;NOUN;VERB;ADP;ADJ;ADJ;NOUN;VERB;ADP;NOUN,Герой нашего времени. Часть 1. Бэла. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-02.html
На нем был офицерский сертук без эполет и черкесская мохнатая шапка.,На;нем;был;офицерский;сертук;без;эполет;и;черкесская;мохнатая;шапка,на;он;быть;офицерский;сертука;без;эполет;и;черкесский;мохнатый;шапка,ADP;PRON;AUX;ADJ;NOUN;ADP;NOUN;CCONJ;ADJ;ADJ;NOUN,Герой нашего времени. Часть 1. Бэла. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-02.html
"Он казался лет пятидесяти; смуглый цвет лица его показывал, что оно давно знакомо с закавказским солнцем, и преждевременно поседевшие усы не соответствовали его твердой походке и бодрому виду.",Он;казался;лет;пятидесяти;смуглый;цвет;лица;его;показывал;что;оно;давно;знакомо;с;закавказским;солнцем;и;преждевременно;поседевшие;усы;не;соответствовали;его;твердой;походке;и;бодрому;виду,он;казаться;год;пятьдесят;смуглый;цвет;лицо;его;показывать;что;оно;давно;знакомый;с;закавказский;солнце;и;преждевременный;поседеть;ус;не;соответствовать;его;твердый;походка;и;бодрый;вид,PRON;VERB;NOUN;NUM;ADJ;NOUN;NOUN;DET;VERB;SCONJ;PRON;ADV;ADJ;ADP;ADJ;NOUN;CCONJ;ADV;VERB;NOUN;PART;VERB;DET;ADJ;NOUN;CCONJ;ADJ;NOUN,Герой нашего времени. Часть 1. Бэла. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-02.html
Я подошел к нему и поклонился; он молча отвечал мне на поклон и пустил огромный клуб дыма.,Я;подошел;к;нему;и;поклонился;он;молча;отвечал;мне;на;поклон;и;пустил;огромный;клуб;дыма,я;подойти;к;он;и;поклониться;он;молча;отвечать;я;на;поклон;и;пустить;огромный;клуб;дым,PRON;VERB;ADP;PRON;CCONJ;VERB;PRON;ADV;VERB;PRON;ADP;NOUN;CCONJ;VERB;ADJ;NOUN;NOUN,Герой нашего времени. Часть 1. Бэла. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-02.html
"— Мы с вами попутчики, кажется?",Мы;с;вами;попутчики;кажется,мы;с;вы;попутчик;казаться,PRON;ADP;PRON;NOUN;VERB,Герой нашего времени. Часть 1. Бэла. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-02.html
"Он, молча, опять поклонился.",Он;молча;опять;поклонился,он;молча;опять;поклониться,PRON;ADV;ADV;VERB,Герой нашего времени. Часть 1. Бэла. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-02.html
— Вы верно едете в Ставрополь?,Вы;верно;едете;в;Ставрополь,вы;верно;ехать;в;Ставрополь,PRON;ADV;VERB;ADP;PROPN,Герой нашего времени. Часть 1. Бэла. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-02.html
— Так-с точно... с казенными вещами.,Так-с;точно;с;казенными;вещами,так-с;точно;с;казенный;вещь,INTJ;ADV;ADP;ADJ;NOUN,Герой нашего времени. Часть 1. Бэла. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-02.html
"— Скажите, пожалуйста, отчего это вашу тяжелую тележку четыре быка тащат шутя, а мою пустую шесть скотов едва подвигают с помощию этих осетин?",Скажите;пожалуйста;отчего;это;вашу;тяжелую;тележку;четыре;быка;тащат;шутя;а;мою;пустую;шесть;скотов;едва;подвигают;с;помощию;этих;осетин,сказать;пожалуйста;отчего;это;ваш;тяжелый;тележка;четыре;бык;тащить;шутить;а;мой;пустой;шесть;скот;едва;подвигать;с;помощий;этот;осетин,VERB;ADV;ADV;PRON;DET;ADJ;NOUN;NUM;NOUN;VERB;ADV;CCONJ;DET;ADJ;NUM;NOUN;ADV;VERB;ADP;NOUN;DET;NOUN,Герой нашего времени. Часть 1. Бэла. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-02.html
Он лукаво улыбнулся и значительно взглянул на меня: — Вы верно недавно на Кавказе?,Он;лукаво;улыбнулся;и;значительно;взглянул;на;меня;Вы;верно;недавно;на;Кавказе,он;лукаво;улыбнуться;и;значительно;взглянуть;на;я;вы;верный;недавно;на;Кавказ,PRON;ADV;VERB;CCONJ;ADV;VERB;ADP;PRON;PRON;ADJ;ADV;ADP;PROPN,Герой нашего времени. Часть 1. Бэла. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-02.html
"— С год, — отвечал я. Он улыбнулся вторично.",С;год;отвечал;я;Он;улыбнулся;вторично,с;год;отвечать;я;он;улыбнуться;вторично,ADP;NOUN;VERB;PRON;PRON;VERB;ADV,Герой нашего времени. Часть 1. Бэла. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-02.html
— А что ж?,А;что;ж,а;что;же,CCONJ;PRON;PART,Герой нашего времени. Часть 1. Бэла. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-02.html
— Да так-с!,Да;так-с,да;так-с,CCONJ;INTJ,Герой нашего времени. Часть 1. Бэла. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-02.html
Ужасные бестии эти азиаты!,Ужасные;бестии;эти;азиаты,ужасный;бестие;этот;азиат,ADJ;NOUN;DET;NOUN,Герой нашего времени. Часть 1. Бэла. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-02.html
"Вы думаете, они помогают, что кричат?",Вы;думаете;они;помогают;что;кричат,вы;думать;они;помогать;что;кричать,PRON;VERB;PRON;VERB;PRON;VERB,Герой нашего времени. Часть 1. Бэла. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-02.html
"А черт их разберет, что они кричат?",А;черт;их;разберет;что;они;кричат,а;черт;они;разбрарить;что;они;кричать,CCONJ;NOUN;PRON;VERB;PRON;PRON;VERB,Герой нашего времени. Часть 1. Бэла. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-02.html
